marker,complexity,rank
two_persons_meeting,2.345000911066574,bottom
security_risk,4.48406239537785,bottom
dashcam,5.570412347264725,bottom
wait_time,5.602764021174905,bottom
city_bus,6.532608908448235,bottom
bharat_petroleum_corporation,6.784617176159857,bottom
easter,6.91354589863693,bottom
operational_issues,6.962155769013574,bottom
motor,7.178759362459544,bottom
world_war_2,7.49010631751157,bottom
fiat_panda,608.9375089806861,top
traton,643.7421164094027,top
dealer_inventory,710.0048086225373,top
mitsubishi_fuso_brand,715.1210539626286,top
psa_peugeot_citroen,779.948055117157,top
shyft_group,815.3794987192065,top
return_on_sales,895.759903518099,top
paccar_parts,999.082008787465,top
ford_otosan,1287.5651500388751,top
brilliance_china_automotive_holdings,1630.1393912969806,top
