marker,complexity,rank
hard_hat,1.2379355735091568,bottom
life360,1.4388506301078723,bottom
hormel_foods,2.0070243602095728,bottom
pressure_washer,2.1641071544087094,bottom
bark_inc,2.2724792559280935,bottom
auto_zone,2.556070572895525,bottom
cwa,3.4308532072747053,bottom
hair_salon,4.18613110061391,bottom
avery_dennison,4.328587035307983,bottom
plastic_water_bottle,4.655511227616261,bottom
accor_sa,244.97724528968698,top
upm,276.97587395830675,top
timeshare,280.38304332921564,top
gogo,354.7960023808726,top
hotels_com,356.5734368790256,top
trivago,459.7288560749028,top
helloworld_travel,899.6137904768483,top
corporate_travel_mgmt,910.1863190354434,top
flight_centre_travel_group,1351.1590046143062,top
crown_resorts,1817.3186361014264,top
