marker,complexity,rank
cs_disco,0.97703892759591,bottom
national_vision,1.0200814495243622,bottom
las_vegas_sands,1.0489062836795318,bottom
sports_management,1.2336225957829328,bottom
office_supplies,1.3365680170797365,bottom
gaia,3.6241693474793264,bottom
ice_chest,3.634331739614897,bottom
shooting,3.6693775189722952,bottom
gamestop,3.772489440638886,bottom
bandage,3.973205512642524,bottom
sbf,32.8579490529977,top
hatchet,33.68925201784167,top
smith_wesson_brands,34.21322348010672,top
hockey_stick,38.3897790924059,top
sturm_ruger_&_co,38.611092855313764,top
baseball_bat,39.987108938182296,top
stun_gun,41.57125041288966,top
isf,43.35237199743048,top
vivendi,88.34423224294963,top
canal_plus,99.10762990823467,top
