marker,complexity,rank
bandwidth_inc,6.809968246653275,bottom
synaptics,8.548768554136656,bottom
oracle_corp,15.476744453504315,bottom
cyberattack,15.876442549842558,bottom
motorola_solutions,15.946721006944431,bottom
data_security,16.103025619718338,bottom
docebo,16.34331212831883,bottom
arm_holdings,16.63257112752049,bottom
cloud_security,19.144738393428646,bottom
timing_system,19.408971598543523,bottom
splunk_inc,111.41464572729576,top
cash_conversion_cycle,116.48386012846925,top
talkdesk,134.75568417413402,top
dynamics_365,166.5567630669097,top
sdl,233.2128623451807,top
xplore_technologies,262.1356671333559,top
enterprise_infrastructure_software,286.8346495925108,top
actuate,392.538044755249,top
aveva_group,395.29304069961853,top
ncc_group,507.61366566083944,top
