marker,complexity,rank
amicus_therapeutics,2.818498989546418,bottom
cormedix,3.2414301879357335,bottom
athira_pharma,3.909890874822116,bottom
phreesia,4.07181111089258,bottom
acadia_healthcare,6.744802116409706,bottom
feature_vaccination_status,6.89724626459146,bottom
whistleblower,7.730145626408695,bottom
xilio_therapeutics,8.35690045290199,bottom
inflation_reduction_act_2022,11.412792742258747,bottom
radiation_therapy,12.193663058977116,bottom
stelara,225.40259952193864,top
roche,228.80167406830734,top
beigene,234.36523417453455,top
eliquis,250.82114206469404,top
novavax,257.38316120614553,top
infusion_pump,258.25977227145484,top
salix_pharmaceuticals,290.71459673652384,top
bausch_health,425.47209205671044,top
repatha,429.02991122096364,top
braftovi,436.93257315650663,top
