marker,complexity,rank
mcafee,2.0690053659493755,bottom
volunteering,5.00968774377358,bottom
augmented_reality,6.001593840823673,bottom
skype,6.0378585295535965,bottom
video_conference_system,6.101693333234576,bottom
broadcasting,10.361746029924864,bottom
cloud_storage,10.546504754992402,bottom
cyberlink,13.215479561378976,bottom
facial_recognition,14.509288917928142,bottom
huawei,15.4953058179343,bottom
satellite_television,475.6517467809777,top
programmatic_advertising,481.55895696602084,top
bouygues_telecom,520.3809310522241,top
rogers_communications,658.4127338739581,top
iptv,671.1139169225414,top
cogeco,996.206258334168,top
cogeco_communications,1007.6443784160892,top
corus_entertainment,1035.0158251724952,top
quebecor,1379.625529788879,top
shaw_communications,1914.0465597493712,top
