marker,complexity,rank
kesko,0.6627781074900491,bottom
icbs,1.0978486614322458,bottom
dundee,1.1837952408103232,bottom
shanghai_construction_group,1.729050827721345,bottom
crh,1.8405951031079335,bottom
public_services,1.856841277865396,bottom
speech,2.088966474272338,bottom
resignation,2.1175433897109497,bottom
election,2.1385462069005325,bottom
genfit,2.3047492105838785,bottom
devon_energy,228.99008503568126,top
mplx,290.33788241768855,top
product_supplied,300.901068134691,top
petroleum_coke,367.96165185873593,top
huaneng_power_international,375.39427821380616,top
postal_savings_bank_china,393.00654794484427,top
china_shenhua_energy,571.281829181184,top
chemchina,710.0549811394086,top
china_gas_holdings,771.0276516459484,top
finished_gasoline,828.7055280697829,top
