marker,complexity,rank
travel_advisory,14.054014796962816,bottom
commercial_aircraft,20.594852158197785,bottom
twa,22.77570528257486,bottom
aena,24.126924703507544,bottom
emirates_airline,28.26961990942575,bottom
cancellations,28.4398590557963,bottom
pros_holdings,33.43722197272513,bottom
airlines,34.970768899516536,bottom
etihad_airways,35.64162785529811,bottom
flight_delays,40.90326364128906,bottom
air_france,221.14275623630067,top
feature_plane_size,227.37219280085966,top
cathay_pacific_airways,238.68399240810245,top
hawaiian_airlines,246.07556999983953,top
china_eastern_airlines,251.53528983407517,top
air_china,269.6321546657111,top
airbus_a320neo,271.5657208915159,top
airbus_a321neo,283.6105800729417,top
cost_by_asm,306.7922636836599,top
sas,319.4659091838423,top
