marker,complexity,rank
terumo,0.003161057054750079,bottom
artificial_intelligence,0.03556388561123728,bottom
partnership,0.052874847446381525,bottom
sparta,0.056157761740072885,bottom
cochlear,0.05752138777912371,bottom
konica_minolta,0.07701849408551054,bottom
ham,0.07837078781038842,bottom
profit,0.09600459916222857,bottom
manchester_united,0.09726128918023182,bottom
production_activity,0.09921083331752693,bottom
dall_e,2.030462175017483,top
usg,2.7336014869278444,top
webex,3.0114997578283584,top
actuate,3.0606617564113816,top
vivendi,3.570530147293347,top
aveva_group,3.680222649585805,top
sdl,4.311898867574599,top
ncc_group,4.891801229438086,top
canal_plus,6.059803078732352,top
enterprise_infrastructure_software,6.294404006080815,top
