marker,complexity,rank
engie,0.002649538254537858,bottom
siemens,0.00402327415170919,bottom
electricity,0.01734937638654647,bottom
woodside_petroleum,0.017665095917378717,bottom
schlumberger,0.03803094799833763,bottom
production_capacity,0.04530129575475493,bottom
vestas_wind_systems,0.05149220230193637,bottom
air_liquide,0.06593882119978726,bottom
transportation_costs,0.08802031065170215,bottom
gas_station,0.14648607107697287,bottom
production_capacity,0.04530129575475493,top
vestas_wind_systems,0.05149220230193637,top
air_liquide,0.06593882119978726,top
transportation_costs,0.08802031065170215,top
gas_station,0.14648607107697287,top
lng_refining,0.1683573941879999,top
energy_security,0.2705176763760829,top
oil_refining,0.29346143248312345,top
oil_field,0.4955574003324464,top
oil_gas_production,0.5237314326068248,top
