marker,complexity,rank
abu_dhabi_commercial_bank,0.0027503192157178643,bottom
live_cattle,0.02006924408638962,bottom
bird_flu,0.02199949215061209,bottom
sugar,0.026713384291119746,bottom
helium,0.0368546428352198,bottom
minerals_technologies,0.04366639804098682,bottom
poultry,0.050336429445078705,bottom
pemex,0.05097094884244074,bottom
iti_limited,0.053387209888695955,bottom
potash,0.059611212099618505,bottom
spot_price,4.939313215103267,top
gathering_lines,5.415056186401761,top
refined_products,6.3685960072564445,top
marathon_petroleum,6.402214419232059,top
drilling_services,6.439403037260419,top
marathon_oil,8.765596581936032,top
asset_sales,9.862185473883379,top
product_supplied,11.710470624762682,top
finished_gasoline,15.033335128254887,top
changes_in_working_capital,16.335600177639087,top
