marker,complexity,rank
washing_machine,0.008339016607636699,bottom
aker_solutions,0.033416698578254224,bottom
energy_sector,0.038920769970512026,bottom
sanctions,0.04267440802538084,bottom
fire_hazard,0.04806495431760993,bottom
project,0.05865643342625263,bottom
carbon_dioxide,0.059178632030915224,bottom
oil_storage,0.0656475157721061,bottom
nuclear_power,0.06978845536380024,bottom
small_modular_reactor,0.0796862798977899,bottom
uniper,2.0023393838144976,top
technip_energies,2.0261253365931173,top
wesfarmers,2.1944336473728776,top
greenhouse_gas_emissions_offset,2.6157946663832568,top
industrial_chemicals,2.8859589315322487,top
graincorp,2.988679676830975,top
project_design,3.0493663812603486,top
feature_emission_scope,7.141128872447617,top
co2_scope_3_emissions,10.633900164464295,top
co2_scope_1_2_emissions,12.065341775688028,top
