marker,complexity,rank
absci,5.8266812859335405e-05,bottom
lotte,0.0004080314994331659,bottom
trane_technologies,0.001015205393420748,bottom
power_nickel,0.001093370405876673,bottom
nordea_bank_abp,0.0016580438385152417,bottom
cormedix,0.0017031158995544282,bottom
the_boring_company,0.0017771248288648979,bottom
cleanspark,0.0021179723152822847,bottom
janux_therapeutics,0.0022700647950458057,bottom
smc,0.002271347419055786,bottom
short_opinion,0.04816229381209714,top
earnings_potential,0.04875553513565292,top
factset_research_systems,0.05110139756065156,top
buy_signal,0.06129154632139327,top
zymeworks,0.07896218496336052,top
jazz_pharmaceuticals,0.08620812973314429,top
market_crash,0.09689122989115914,top
form_4,0.10507039573659772,top
shareholder_decreases_ownership,0.11969526109352839,top
insider_trading,0.20740922521773336,top
