marker,complexity,rank
jack_in_the_box,9.150215706292954,bottom
el_pollo_loco,9.466753047972952,bottom
dinner,17.023387048878963,bottom
lunch,17.486044498929193,bottom
vine,18.04528958155016,bottom
valentines_day,22.397586753768042,bottom
grocery_outlet,22.453113178228726,bottom
breakfast,23.784092630393673,bottom
coffeehouse,23.910506317698278,bottom
walnut,24.881711634143816,bottom
spinach,115.87683018248123,top
hair_mousse,116.09428327402162,top
oat_milk,121.9567949179988,top
nutella,125.09673015604598,top
cream_cheese,128.3388034821789,top
quinoa,129.11702164880336,top
asparagus,132.83600087586544,top
eggplant,138.2685664800114,top
hazelnuts,147.28392689940242,top
cauliflower,157.11861245613247,top
