marker,complexity,rank
bentley_systems,0.0025951644344645456,bottom
schneider_electric,0.008540269472043064,bottom
wabtec,0.008823174401763518,bottom
graduation_rate,0.016408472024141325,bottom
fleury,0.021276053376762177,bottom
productivity,0.0379484078494807,bottom
neuralink,0.042263569038374804,bottom
mental_health,0.049877599140437504,bottom
urine_testing,0.05144945275142076,bottom
primary_education,0.05694995573161074,bottom
local_election,2.4041619160711845,top
election_tampering,2.560331973396385,top
biden_presidency,2.6766415085236863,top
trump_reelection,2.709430107970591,top
vote_results,2.777897389884375,top
change_of_control,2.9593662372333367,top
declaration_war,3.038435227304446,top
opinion_polls,3.355721990177008,top
tear_gas,3.6871807680908764,top
voter_fraud,4.067907316754667,top
