marker,complexity,rank
bbk_electronics,0.0013252496941905578,bottom
clearlake_capital_group,0.0019471424163617864,bottom
trimas,0.003016601624583466,bottom
renovorx,0.0036165102660816427,bottom
shift4_payments,0.0041104551587706735,bottom
scandic_hotels_group,0.00470541852074345,bottom
hexaware_technologies,0.0057589429799190925,bottom
storage_unit,0.005959844487356672,bottom
mstc,0.00728368435167954,bottom
whitbread,0.009710102991906517,bottom
perkinelmer,1.7524360517695838,top
eliquis,1.902383024896233,top
patent_expiration,1.9373197022173307,top
otezla,2.202260430934814,top
enbrel,2.397609117094264,top
celgene,2.421780801079409,top
start_up_costs,2.4430209926872064,top
repatha,2.682558931131498,top
non_gaap_eps,2.8665962711063186,top
raised_guidance,3.873409766307148,top
