marker,complexity,rank
document,1.5350923830702068,bottom
disaster,1.6476867942134756,bottom
newspaper,1.7134031812721802,bottom
macroeconomy,1.7216588915331608,bottom
for_a_fee_or_free,1.7581626659280507,bottom
government,1.7660368984510608,bottom
new_contract,1.7964268540733497,bottom
meeting,1.9876756204898207,bottom
usage,1.9965753491356704,bottom
project,2.0292786717497107,bottom
jiangxi_wannianqing_cement,398.46141043564216,top
iluka_resources,430.13668018497884,top
alumina_ltd,444.6601641629734,top
alkane_resources,523.1009393795114,top
bluescope,586.1230360716006,top
sims_metal_mgmt,764.5546352168451,top
diatreme_resources,915.2321675288553,top
dgr_global,1063.75662321368,top
aeon_metals,1156.8165818972714,top
astron_corporation,1157.8027808906586,top
