marker,complexity,rank
cmm,0.12812817087411477,bottom
intl_convention,0.8150157559284067,bottom
elis,1.025913559468428,bottom
fastener,1.6396083341133283,bottom
global_education_limited,1.6992737470008614,bottom
brake_pad,1.7160228893044132,bottom
restraining_order,1.7280318517915163,bottom
dof,2.0646723941859078,bottom
terminated_deal,2.5953329908425915,bottom
wildfire,2.8981537429759667,bottom
contourglobal,68.2613337503408,top
nisource_nisource,73.68392291863147,top
dte_energy,73.70605640967435,top
enphase_energy,77.05043942569434,top
tongwei,79.64336431215048,top
canadian_solar,89.56122570339414,top
ja_solar_holdings,91.14302498197817,top
longi_green_energy_technology,105.89410140517403,top
jinkosolar_holding,134.97843771718402,top
consolidated_edison,166.52900099190353,top
