marker,complexity,rank
real_estate_ownership,0.014840221980338793,bottom
fiske,0.018014894691897793,bottom
manufactured_homes,0.019867873142886103,bottom
condom,0.020402268708132942,bottom
power_tool,0.0205721827605777,bottom
anavex_life_sciences,0.0233112170383537,bottom
biohaven_pharmaceutical_holding_limited,0.02405333218674813,bottom
pure_health_holding,0.025780128789039253,bottom
fastener,0.026983551747731798,bottom
hiscox,0.02708597300336696,bottom
loss_by_share,2.531335478211931,top
beijing_tongrentang,2.774688436428481,top
sinopharm_group,3.2367271616655757,top
antibody_drugs,3.7390654658813283,top
licensing_deal,3.9306951830773915,top
mabpharm,4.24423766005639,top
jiangsu_hengrui_medicine,4.4713943103573985,top
moneta_money_bank,4.597243306937725,top
china_shineway_pharmaceutical_group,4.6795226584613845,top
komercni_banka,4.723428031663552,top
