marker,complexity,rank
cadiz,0.5678564562689931,bottom
symbotic,1.1448729741686954,bottom
forced_labor,1.229744973404246,bottom
punitive_damages,1.2648605119481344,bottom
generative_ai,1.4729467418665938,bottom
violent_extremism,1.4802846547133213,bottom
storm,1.6302153607668328,bottom
broke_out,1.6640224553058494,bottom
undergraduate_education,1.7128804505515636,bottom
feature_student_status,1.907853773185815,bottom
lennar_corporation,65.22808572104904,top
sentinelone,66.49224065908578,top
lgi_homes,68.32105210981366,top
funds_from_operations,74.97325437742055,top
universal_display_corp,76.83629712687603,top
equity_lifestyle_properties,86.99776984339938,top
eastgroup_properties,88.64427786747018,top
pandora_media,88.99780316911102,top
residential_reits,95.76098512699963,top
realty_income_corp,98.0842644524929,top
