marker,complexity,rank
predictive_oncology,0.0023712973999003425,bottom
ibm,0.003373616429124993,bottom
ferguson,0.007887015246854593,bottom
genfit,0.00808699501831495,bottom
adjuvants,0.00827845370924505,bottom
antidepressants,0.011094266481039668,bottom
dr_horton,0.016140821992036997,bottom
tropical_storm,0.018358169895361535,bottom
e_liquid,0.01895666333073297,bottom
cancer_drugs,0.024874862563774563,bottom
revenue_by_available_room,1.0698149525275853,top
gogo,1.1532055919565647,top
border_shutdown,1.6297985240453143,top
cato_corporation,2.432535871901964,top
crown_resorts,2.607511861977496,top
helloworld_travel,3.1683171819103526,top
flight_centre_travel_group,3.1705859681827544,top
pent_up_demand,3.290808350421927,top
corporate_travel_mgmt,3.3059943454171825,top
hotels_com,4.847071886596966,top
