marker,complexity,rank
food_retail,3.6963174711441686,bottom
j_jill,11.97763709921037,bottom
shirt,17.039346866439068,bottom
boots,19.07767652880369,bottom
jigsaw,20.215447451884632,bottom
tj_maxx,22.740778442180932,bottom
apparel,23.706360318740522,bottom
jewelry,23.99060073728009,bottom
sock,25.515384069344066,bottom
handbag,25.632802572917733,bottom
leggings,116.45133338212864,top
versace,119.75459520770956,top
reebok,134.71621453514143,top
nordstrom,144.90221579384786,top
cashmere,154.6375833385851,top
capri_holdings,166.92503421747733,top
workwear,178.69625738531002,top
banana_republic,196.62693719065717,top
tapestry_inc,241.28650233136608,top
j_crew,246.453268588019,top
