marker,complexity,rank
wolters_kluwer,1.1152264902520188,bottom
ars_pharmaceuticals,1.363960941533546,bottom
face_mask_requirement,1.638010958050417,bottom
feature_gender,1.773731601453135,bottom
hilcorp_energy,1.9303703360124296,bottom
longterm_care_facilities,2.1436906647509186,bottom
canadian_national_railway,2.3083037741534653,bottom
home_furnishings,2.422592175218474,bottom
postgraduate_education,2.4674091479163724,bottom
construction_partners,2.689808720652704,bottom
metakaolin,107.66734776474065,top
sdg11_sustainable_cities_communities,111.23683189308426,top
m101,117.70507702661499,top
sdg8_decent_work_economic_growth,121.16065589694716,top
sdg13_climate_action,127.33785003231516,top
sdg15_life_on_land,149.64830462329442,top
global_petroleum,160.32702248002164,top
sdg17_partnerships_for_the_goals,163.46437900872095,top
sdg12_responsible_consumption_production,164.31558805000387,top
rabigh_refinery_petrochemical,220.80781187048382,top
