marker,complexity,rank
luggage,2.789578670694398,bottom
state_bank_of_india,3.454277426132007,bottom
atled,3.811791040321838,bottom
rake,4.522147766906921,bottom
samsonite_intl,4.769103091706026,bottom
corporation_of_india,6.186435620075837,bottom
sales_underperform,6.844811010155865,bottom
bank_of_india,8.961924765579496,bottom
wiring_harness,9.896538450613123,bottom
hindustan_petroleum_corporation,10.72542551495699,bottom
jsw_steel,172.12337414503497,top
suzlon_energy,173.30712043983326,top
kec_intl,188.40230099276647,top
pennar_industries,188.7004799118577,top
aurobindo_pharma,192.5776420605639,top
godrej_properties,192.86280337134698,top
intellect_design_arena,206.459994121292,top
laurus_labs,216.50911453621688,top
vakrangee,250.02797190081685,top
kpit_technologies,262.264666403354,top
