marker,complexity,rank
feature_religion,1.9077751386203075,bottom
scholarship,1.945118846918803,bottom
call,2.3635879211861486,bottom
debate,2.6391869230701657,bottom
prospect_capital,3.4924284397055874,bottom
animal_textiles,3.5322552706805275,bottom
quad_graphics,3.632966420253845,bottom
skyward_specialty_insurance_group,4.237514986885989,bottom
tax_revenue,4.319135720164532,bottom
paramedic,4.535762125432112,bottom
aegon,142.57629384300773,top
turkiye_bankasi,143.40149123761455,top
groupe_bpce,149.4128533847975,top
legal_general_group,162.03251266733875,top
cnp_assurances,222.0301046641104,top
prudential_plc,250.35212291223795,top
cost_of_risk,270.2248489188787,top
akbank,271.5512320597414,top
la_banque_postale,289.6664128583793,top
chesnara,416.9094170294111,top
